本数据策略分享会专用，由邢不行整理，微信：xbx6660
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sh688368,晶丰明源,2019-12-31,88.99,90.7,87.0,88.48,90.01,467285.0,41169736.0,1245382544.0,5450368000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2111.15,1795.16,781.06,1462.31,1224.75,859.48,0.0,0.0,,,,,,,电子,半导体,集成电路,90.09,89.8,89.49
sh688368,晶丰明源,2020-01-02,88.49,89.86,86.21,87.0,88.48,1023022.0,89310938.0,1224551100.0,5359200000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3576.9,3090.34,2950.77,4287.24,2153.58,1132.3,249.8,421.18,,,,,,,电子,半导体,集成电路,88.5,88.88,89.44
sh688368,晶丰明源,2020-01-03,86.5,88.5,84.8,85.31,87.0,792216.0,68143570.0,1200763843.0,5255096000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3279.44,2766.2,1606.19,2009.58,1928.7,1608.04,0.0,430.5,,,,,,,电子,半导体,集成电路,87.4,86.73,87.6
sh688368,晶丰明源,2020-01-06,84.48,87.5,84.05,87.2,85.31,776595.0,67067557.0,1227366160.0,5371520000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2686.05,3015.97,2355.88,2121.95,1310.54,1360.96,354.25,207.83,,,,,,,电子,半导体,集成电路,85.32,86.67,86.0
sh688368,晶丰明源,2020-01-07,87.2,88.35,85.38,87.9,87.2,749878.0,65427053.0,1237218870.0,5414640000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,1981.53,3017.85,1748.06,2268.56,2231.84,1256.26,581.25,0.0,,,,,,,电子,半导体,集成电路,88.06,87.27,87.19
sh688368,晶丰明源,2020-01-08,87.68,90.58,86.0,88.0,87.9,897352.0,79155916.0,1238626400.0,5420800000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2879.59,3573.1,2330.54,2570.78,2222.36,1655.25,483.05,116.42,,,,,,,电子,半导体,集成电路,87.0,86.71,86.4
sh688368,晶丰明源,2020-01-09,89.11,92.53,88.11,90.86,88.0,784964.0,71432153.0,1278881758.0,5596976000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3097.32,3283.12,2117.2,2023.27,1822.5,1726.42,106.15,110.37,,,,,,,电子,半导体,集成电路,88.59,89.3,89.8
sh688368,晶丰明源,2020-01-10,90.88,91.99,88.79,90.0,90.86,521381.0,47065498.0,1266777000.0,5544000000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2043.51,2420.32,1376.37,1419.7,1128.9,866.51,157.74,0.0,,,,,,,电子,半导体,集成电路,91.02,91.86,91.85
sh688368,晶丰明源,2020-01-13,89.97,90.79,87.1,90.6,90.0,838276.0,74667326.0,1275222180.0,5580960000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3150.69,2719.19,2952.81,3693.67,1249.34,1053.85,113.86,0.0,,,,,,,电子,半导体,集成电路,88.82,88.61,88.34
sh688368,晶丰明源,2020-01-14,90.61,92.45,88.11,90.6,90.6,862431.0,77551832.0,1275222180.0,5580960000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3740.66,3392.36,2181.05,2716.73,1524.39,1405.1,309.04,240.97,,,,,,,电子,半导体,集成电路,90.5,89.3,89.88
sh688368,晶丰明源,2020-01-15,90.03,90.03,87.89,88.55,90.6,575569.0,50987321.0,1246367815.0,5454680000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2806.55,2108.65,993.62,1813.08,1298.54,1039.3,0.0,137.67,,,,,,,电子,半导体,集成电路,89.44,89.53,89.45
sh688368,晶丰明源,2020-01-16,88.8,94.38,88.07,92.34,88.55,1671564.0,153196417.0,1299713202.0,5688144000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,5492.28,5546.57,5829.4,5835.52,1945.38,2608.75,2052.53,1328.74,,,,,,,电子,半导体,集成电路,88.53,89.74,89.18
sh688368,晶丰明源,2020-01-17,93.3,100.2,92.0,98.34,92.34,1556811.0,149662449.0,1384165002.0,6057744000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,6301.84,6826.08,5126.75,4566.88,2606.02,3208.46,931.57,364.76,,,,,,,电子,半导体,集成电路,93.4,92.68,93.8
sh688368,晶丰明源,2020-01-20,101.86,118.01,99.9,118.01,98.34,2159683.0,234668696.0,1661026153.0,7269416000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,5328.33,8598.89,10710.44,8436.07,1738.8,3635.29,5689.24,2796.57,,,,,,,电子,半导体,集成电路,104.97,102.89,106.33
sh688368,晶丰明源,2020-01-21,118.0,118.0,103.0,103.81,118.01,2223874.0,243798318.0,1461156893.0,6394696000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,9118.68,8390.61,9059.43,10473.82,3599.87,1863.05,2601.77,3652.27,,,,,,,电子,半导体,集成电路,114.02,115.3,114.22
sh688368,晶丰明源,2020-01-22,100.01,121.7,99.78,117.0,103.81,2029147.0,223814793.0,1646810100.0,7207200000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,7759.58,9059.55,9370.72,8963.02,2840.88,3078.43,2410.22,1280.4,,,,,,,电子,半导体,集成电路,101.37,102.0,101.6
sh688368,晶丰明源,2020-01-23,111.0,123.95,108.0,116.03,117.0,1620163.0,188436286.0,1633157059.0,7147448000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,9115.79,7256.93,6133.26,7532.09,2897.82,2617.17,696.7,1437.37,,,,,,,电子,半导体,集成电路,115.96,111.2,114.0
sh688368,晶丰明源,2020-02-03,93.33,104.8,92.82,92.82,116.03,1254356.0,121013179.0,1306469346.0,5717712000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,4183.35,4122.6,3661.93,3283.36,1991.58,1351.96,1666.71,2745.64,,,,,,,电子,半导体,集成电路,93.94,97.06,102.0
sh688368,晶丰明源,2020-02-04,95.0,103.41,95.0,100.7,92.82,1482402.0,148259894.0,1417382710.0,6203120000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,5696.35,5477.32,5627.96,6073.46,2197.23,2003.93,1304.4,1271.22,,,,,,,电子,半导体,集成电路,98.83,97.5,99.36
sh688368,晶丰明源,2020-02-05,100.69,111.99,99.0,103.27,100.7,1537859.0,161988878.0,1453556231.0,6361432000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,7165.93,6063.77,5877.08,6481.84,2315.08,2642.91,840.73,1010.3,,,,,,,电子,半导体,集成电路,101.49,105.76,109.4
sh688368,晶丰明源,2020-02-06,102.13,109.44,100.0,107.95,103.27,1207501.0,127199539.0,1519428635.0,6649720000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,5310.01,5505.88,4214.44,4289.26,1770.79,2082.02,1206.6,624.68,,,,,,,电子,半导体,集成电路,101.5,103.12,103.28
sh688368,晶丰明源,2020-02-07,106.0,123.45,103.51,117.68,107.95,1835609.0,205913420.0,1656381304.0,7249088000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,6921.04,7242.68,9630.29,8306.98,2676.67,3237.94,1363.28,1803.68,,,,,,,电子,半导体,集成电路,108.01,106.37,104.5
sh688368,晶丰明源,2020-02-10,116.89,121.93,111.88,116.0,117.68,1354955.0,157892085.0,1632734800.0,7145600000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,5962.65,5295.34,5230.9,6759.54,3052.61,2916.14,1542.97,818.12,,,,,,,电子,半导体,集成电路,115.81,115.78,114.49
